dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall
banknote_authentication,0.048686885833740236,0.011373665361251471,0.011689066886901855,0.006683395509599314,25,13,29,3,"{'n_estimators': 25, 'min_samples_split': 13, 'min_samples_leaf': 29, 'max_depth': 3}",0.9490909090909091,0.9527272727272728,0.9343065693430657,0.9379562043795621,0.9598540145985401,0.9636363636363636,0.9345454545454546,0.9708029197080292,0.9014598540145985,0.9598540145985401,0.9464233576642336,0.01918223494296187,100,0.9918568520304296,0.9904907318118503,0.9927200172562554,0.9859253666954271,0.9926121656600518,0.9950980392156863,0.984303010821815,0.9929087575496117,0.9841997411561692,0.9948231233822261,0.9904937805579521,0.003948254633323962,100,0.9416666666666667,0.946058091286307,0.9243697478991597,0.933852140077821,0.9543568464730291,0.9586776859504132,0.925,0.967479674796748,0.891566265060241,0.9543568464730291,0.9397383964683416,0.020995113924444864,100,0.9576271186440678,0.957983193277311,0.9482758620689655,0.8888888888888888,0.9663865546218487,0.9666666666666667,0.940677966101695,0.9596774193548387,0.8740157480314961,0.9663865546218487,0.9426585972277627,0.031763907742943645,100,0.9262295081967213,0.9344262295081968,0.9016393442622951,0.9836065573770492,0.9426229508196722,0.9508196721311475,0.9098360655737705,0.9754098360655737,0.9098360655737705,0.9426229508196722,0.937704918032787,0.025972097570089923,100
banknote_authentication,0.20474133491516114,0.008612529992206628,0.025073146820068358,0.01155516862905641,127,12,7,3,"{'n_estimators': 127, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_depth': 3}",0.9563636363636364,0.9745454545454545,0.9635036496350365,0.948905109489051,0.9598540145985401,0.9636363636363636,0.9418181818181818,0.9635036496350365,0.9562043795620438,0.9708029197080292,0.9599137358991374,0.00920488709227909,99,0.9915354119789993,0.9927140255009107,0.9941220880069024,0.987111734253667,0.994283865401208,0.995339119254259,0.9801778634951248,0.9947152717860224,0.9893226919758413,0.9961173425366694,0.9915439414189604,0.0046332066483698075,97,0.9504132231404959,0.97165991902834,0.959349593495935,0.9435483870967742,0.9543568464730291,0.9586776859504132,0.9338842975206612,0.959349593495935,0.9516129032258065,0.9669421487603306,0.954979459818772,0.010399345284300652,99,0.9583333333333334,0.96,0.9516129032258065,0.9285714285714286,0.9663865546218487,0.9666666666666667,0.9416666666666667,0.9516129032258065,0.9365079365079365,0.975,0.9536358392819494,0.013872328321427272,98,0.9426229508196722,0.9836065573770492,0.9672131147540983,0.9590163934426229,0.9426229508196722,0.9508196721311475,0.9262295081967213,0.9672131147540983,0.9672131147540983,0.9590163934426229,0.9565573770491802,0.015573770491803255,99
banknote_authentication,0.15082223415374757,0.0070386701814850825,0.01739344596862793,0.0023385377992774237,95,3,19,3,"{'n_estimators': 95, 'min_samples_split': 3, 'min_samples_leaf': 19, 'max_depth': 3}",0.9563636363636364,0.9672727272727273,0.9562043795620438,0.9525547445255474,0.9598540145985401,0.9636363636363636,0.9454545454545454,0.9635036496350365,0.9562043795620438,0.9817518248175182,0.9602800265428003,0.009272588612436246,98,0.9918568520304297,0.992124718739955,0.9940142364106987,0.9860871440897326,0.9928009059534082,0.995339119254259,0.98033858352084,0.9943377911993098,0.989430543572045,0.9955241587575496,0.9911854053528227,0.004524226851771399,98,0.9504132231404959,0.963265306122449,0.9508196721311475,0.9477911646586346,0.9543568464730291,0.9586776859504132,0.9382716049382716,0.959349593495935,0.9516129032258065,0.9795918367346939,0.9554149836870875,0.010421142857647924,98,0.9583333333333334,0.959349593495935,0.9508196721311475,0.9291338582677166,0.9663865546218487,0.9666666666666667,0.9421487603305785,0.9516129032258065,0.9365079365079365,0.975609756097561,0.9536569034678528,0.01381171025764586,97,0.9426229508196722,0.9672131147540983,0.9508196721311475,0.9672131147540983,0.9426229508196722,0.9508196721311475,0.9344262295081968,0.9672131147540983,0.9672131147540983,0.9836065573770492,0.9573770491803278,0.014570810520189466,98
blood_transfusion,0.17947571277618407,0.003790637689387333,0.020781755447387695,0.0022088906774237922,138,5,1,26,"{'n_estimators': 138, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 26}",0.7466666666666667,0.8,0.78,0.8053691275167785,0.738255033557047,0.74,0.7333333333333333,0.7666666666666667,0.7449664429530202,0.7718120805369127,0.7627069351230424,0.024812885235425353,100,0.690667641325536,0.7682748538011697,0.7078460038986354,0.7238095238095237,0.6731829573934838,0.679337231968811,0.6745857699805069,0.7189327485380117,0.7037593984962406,0.7451127819548873,0.7085508911166806,0.02974148008529636,99,0.8362068965517241,0.8770491803278688,0.8674698795180723,0.8776371308016878,0.8395061728395061,0.8368200836820083,0.8333333333333334,0.8497854077253219,0.8403361344537815,0.860655737704918,0.8518799956938221,0.01650503312313907,100,0.8220338983050848,0.823076923076923,0.8,0.8455284552845529,0.7906976744186046,0.8,0.7936507936507936,0.8319327731092437,0.8064516129032258,0.8076923076923077,0.8121064438440737,0.016948628428097724,61,0.8508771929824561,0.9385964912280702,0.9473684210526315,0.9122807017543859,0.8947368421052632,0.8771929824561403,0.8771929824561403,0.868421052631579,0.8771929824561403,0.9210526315789473,0.8964912280701753,0.030336169238229092,100
blood_transfusion,0.05484836101531983,0.002425727968815726,0.012655425071716308,0.0018672374367758664,48,22,19,3,"{'n_estimators': 48, 'min_samples_split': 22, 'min_samples_leaf': 19, 'max_depth': 3}",0.7666666666666667,0.7533333333333333,0.7666666666666667,0.7919463087248322,0.7449664429530202,0.76,0.7466666666666667,0.78,0.7583892617449665,0.7785234899328859,0.7647158836689039,0.014425685976659186,99,0.7431773879142299,0.7685185185185185,0.7095516569200778,0.7632832080200501,0.7146616541353382,0.7057748538011696,0.7434210526315789,0.7190545808966862,0.7739348370927318,0.7462406015037594,0.738761835143414,0.02394077150802436,77,0.8638132295719845,0.8571428571428571,0.8648648648648649,0.8755020080321285,0.8515625,0.8582677165354331,0.8503937007874016,0.8653061224489796,0.859375,0.8735632183908046,0.8619791217774454,0.007915134670557251,96,0.7762237762237763,0.7655172413793103,0.7724137931034483,0.8074074074074075,0.7676056338028169,0.7785714285714286,0.7714285714285715,0.8091603053435115,0.7746478873239436,0.7755102040816326,0.7798486248665848,0.014699506241912135,100,0.9736842105263158,0.9736842105263158,0.9824561403508771,0.956140350877193,0.956140350877193,0.956140350877193,0.9473684210526315,0.9298245614035088,0.9649122807017544,1.0,0.9640350877192982,0.01858738605299745,1
blood_transfusion,0.0591486930847168,0.007540181944682382,0.014260315895080566,0.0036605225192299006,44,9,24,3,"{'n_estimators': 44, 'min_samples_split': 9, 'min_samples_leaf': 24, 'max_depth': 3}",0.7733333333333333,0.7733333333333333,0.76,0.7651006711409396,0.7449664429530202,0.7666666666666667,0.7533333333333333,0.78,0.785234899328859,0.7718120805369127,0.7673780760626399,0.011525773097299949,97,0.7423245614035088,0.7769249512670566,0.7090643274853801,0.7607769423558899,0.7171679197994987,0.7056530214424951,0.7336744639376217,0.7115009746588693,0.7789473684210526,0.7411027568922306,0.7377137287663602,0.026031945128473483,81,0.8671875,0.8661417322834646,0.8604651162790697,0.8627450980392157,0.8515625,0.8594377510040161,0.8537549407114624,0.8653061224489796,0.875968992248062,0.8692307692307693,0.863180052224504,0.006891187500995524,92,0.7816901408450704,0.7857142857142857,0.7708333333333334,0.7801418439716312,0.7676056338028169,0.7925925925925926,0.7769784172661871,0.8091603053435115,0.7847222222222222,0.773972602739726,0.7823411377831377,0.011379913205383346,99,0.9736842105263158,0.9649122807017544,0.9736842105263158,0.9649122807017544,0.956140350877193,0.9385964912280702,0.9473684210526315,0.9298245614035088,0.9912280701754386,0.9912280701754386,0.9631578947368421,0.01953601530817551,2
breast_w,0.02858879566192627,0.0027568931804384275,0.011902594566345214,0.002646320755557329,24,5,23,13,"{'n_estimators': 24, 'min_samples_split': 5, 'min_samples_leaf': 23, 'max_depth': 13}",0.9642857142857143,0.9357142857142857,0.95,0.9714285714285714,0.9568345323741008,0.9428571428571428,0.9714285714285714,0.9571428571428572,0.9642857142857143,0.920863309352518,0.9534840698869476,0.01551426184551761,100,0.9947916666666666,0.9796195652173912,0.9870923913043479,0.9952904238618524,0.9910714285714286,0.9895833333333333,0.9932065217391305,0.9859601449275363,0.9948418928010765,0.9793956043956044,0.9890852972818367,0.005679880025632837,97,0.946236559139785,0.9108910891089109,0.9278350515463918,0.9591836734693877,0.9387755102040817,0.9166666666666666,0.9591836734693877,0.9375,0.9484536082474226,0.8888888888888888,0.9333614720740924,0.02136712065416386,100,0.9777777777777777,0.8679245283018868,0.9183673469387755,0.9591836734693877,0.92,0.9166666666666666,0.94,0.9375,0.9583333333333334,0.8627450980392157,0.9258498424527044,0.03565231404407452,100,0.9166666666666666,0.9583333333333334,0.9375,0.9591836734693877,0.9583333333333334,0.9166666666666666,0.9791666666666666,0.9375,0.9387755102040817,0.9166666666666666,0.9418792517006802,0.020460401185775023,100
breast_w,0.030969762802124025,0.0008651973337970505,0.01171860694885254,0.0008507187059814182,25,13,29,3,"{'n_estimators': 25, 'min_samples_split': 13, 'min_samples_leaf': 29, 'max_depth': 3}",0.9642857142857143,0.9357142857142857,0.95,0.9642857142857143,0.9568345323741008,0.95,0.9714285714285714,0.9571428571428572,0.9857142857142858,0.9136690647482014,0.9549075025693732,0.01877171025248486,99,0.9945652173913044,0.9796195652173914,0.9882246376811594,0.9943933617403005,0.9858058608058609,0.9859601449275361,0.9936594202898551,0.9869791666666666,0.9955146893922404,0.9782509157509157,0.9882972979863232,0.0058901361328345895,100,0.946236559139785,0.9090909090909091,0.9278350515463918,0.9494949494949495,0.9387755102040817,0.9278350515463918,0.9591836734693877,0.9375,0.9795918367346939,0.88,0.9355543541226592,0.02593459300779536,99,0.9777777777777777,0.8823529411764706,0.9183673469387755,0.94,0.92,0.9183673469387755,0.94,0.9375,0.9795918367346939,0.8461538461538461,0.926011109572034,0.03809233625737788,99,0.9166666666666666,0.9375,0.9375,0.9591836734693877,0.9583333333333334,0.9375,0.9791666666666666,0.9375,0.9795918367346939,0.9166666666666666,0.9459608843537414,0.021364066136383596,98
breast_w,0.030636000633239745,0.007476460398083516,0.00981442928314209,0.002833832004383827,22,24,26,25,"{'n_estimators': 22, 'min_samples_split': 24, 'min_samples_leaf': 26, 'max_depth': 25}",0.9642857142857143,0.95,0.9571428571428572,0.9714285714285714,0.9568345323741008,0.95,0.9714285714285714,0.9571428571428572,0.9714285714285714,0.9136690647482014,0.9563360739979444,0.01627532740486803,98,0.9954710144927537,0.9814311594202899,0.9868659420289855,0.9955146893922404,0.9871794871794872,0.988677536231884,0.9941123188405797,0.9864130434782609,0.9952904238618524,0.9791666666666667,0.9890122281592999,0.005645046827967282,98,0.946236559139785,0.9306930693069307,0.9387755102040817,0.9591836734693877,0.9387755102040817,0.9278350515463918,0.9591836734693877,0.9375,0.9591836734693877,0.88,0.9377366720809436,0.02221612432643833,97,0.9777777777777777,0.8867924528301887,0.92,0.9591836734693877,0.92,0.9183673469387755,0.94,0.9375,0.9591836734693877,0.8461538461538461,0.9264958770639364,0.03640321295253361,98,0.9166666666666666,0.9791666666666666,0.9583333333333334,0.9591836734693877,0.9583333333333334,0.9375,0.9791666666666666,0.9375,0.9591836734693877,0.9166666666666666,0.9501700680272108,0.021315230436112765,75
diabetes,0.03382682800292969,0.005032028896960782,0.010963964462280273,0.004087287562410345,25,13,29,3,"{'n_estimators': 25, 'min_samples_split': 13, 'min_samples_leaf': 29, 'max_depth': 3}",0.7597402597402597,0.7857142857142857,0.7662337662337663,0.7058823529411765,0.738562091503268,0.7142857142857143,0.7662337662337663,0.7857142857142857,0.7712418300653595,0.7058823529411765,0.749949070537306,0.029871763130982266,100,0.8575925925925926,0.8708333333333333,0.8184259259259259,0.7874528301886792,0.7933962264150942,0.7709259259259259,0.8342592592592593,0.8781481481481481,0.8097169811320755,0.8181132075471698,0.8238864430468202,0.034231333537609675,99,0.5747126436781609,0.611764705882353,0.5714285714285714,0.4943820224719101,0.5833333333333334,0.5111111111111111,0.5714285714285714,0.6024096385542169,0.6391752577319587,0.47058823529411764,0.5630334090914305,0.05134910404756464,100,0.7575757575757576,0.8387096774193549,0.8,0.6111111111111112,0.6511627906976745,0.6388888888888888,0.8,0.8620689655172413,0.7045454545454546,0.625,0.7289062645755482,0.08951676232724039,9,0.46296296296296297,0.48148148148148145,0.4444444444444444,0.41509433962264153,0.5283018867924528,0.42592592592592593,0.4444444444444444,0.46296296296296297,0.5849056603773585,0.37735849056603776,0.46278825995807127,0.05582022097788041,100
